Stock,yr,ct,bt
ALUTERUS_SCRIPTUS,2006,3.11,NA
ALUTERUS_SCRIPTUS,2007,1.83,NA
ALUTERUS_SCRIPTUS,2008,1.8,NA
ALUTERUS_SCRIPTUS,2009,1.23,NA
ALUTERUS_SCRIPTUS,2010,0.51,NA
ALUTERUS_SCRIPTUS,2011,1.3,NA
ALUTERUS_SCRIPTUS,2012,1.09,NA
ALUTERUS_SCRIPTUS,2013,1.41,NA
ALUTERUS_SCRIPTUS,2014,2.04,NA
ALUTERUS_SCRIPTUS,2015,7.96,NA
ALUTERUS_SCRIPTUS,2016,12.83,NA
ALUTERUS_SCRIPTUS,2017,1.66,NA
ALUTERUS_SCRIPTUS,2018,13.22,NA
ALUTERUS_SCRIPTUS,2019,15.39,NA
ALUTERUS_SCRIPTUS,2020,9.91,NA
ALUTERUS_SCRIPTUS,2021,17.39,NA
ALUTERUS_SCRIPTUS,2022,52.47,NA
ALUTERUS_SCRIPTUS,2023,13.19,NA
ANISOTREMUS_INTERRUPTUS,2006,28.39,NA
ANISOTREMUS_INTERRUPTUS,2007,28.59,NA
ANISOTREMUS_INTERRUPTUS,2008,82.03,NA
ANISOTREMUS_INTERRUPTUS,2009,111.05,NA
ANISOTREMUS_INTERRUPTUS,2010,103.91,NA
ANISOTREMUS_INTERRUPTUS,2011,44.57,NA
ANISOTREMUS_INTERRUPTUS,2012,75.43,NA
ANISOTREMUS_INTERRUPTUS,2013,25.74,NA
ANISOTREMUS_INTERRUPTUS,2014,122.3,NA
ANISOTREMUS_INTERRUPTUS,2015,77.37,NA
ANISOTREMUS_INTERRUPTUS,2016,66.01,NA
ANISOTREMUS_INTERRUPTUS,2017,78.84,NA
ANISOTREMUS_INTERRUPTUS,2018,96.3,NA
ANISOTREMUS_INTERRUPTUS,2019,100.63,NA
ANISOTREMUS_INTERRUPTUS,2020,53.78,NA
ANISOTREMUS_INTERRUPTUS,2021,39.29,NA
ANISOTREMUS_INTERRUPTUS,2022,111.59,NA
ANISOTREMUS_INTERRUPTUS,2023,143.2,NA
ATRACTOSCION_NOBILIS,2006,1.53,NA
ATRACTOSCION_NOBILIS,2007,4.1,NA
ATRACTOSCION_NOBILIS,2008,862.4,NA
ATRACTOSCION_NOBILIS,2009,1258.23,NA
ATRACTOSCION_NOBILIS,2010,6.45,NA
ATRACTOSCION_NOBILIS,2011,18.98,NA
ATRACTOSCION_NOBILIS,2012,12.61,NA
ATRACTOSCION_NOBILIS,2013,4.13,NA
ATRACTOSCION_NOBILIS,2014,36.74,NA
ATRACTOSCION_NOBILIS,2015,18.19,NA
ATRACTOSCION_NOBILIS,2016,32.58,NA
ATRACTOSCION_NOBILIS,2017,31.99,NA
ATRACTOSCION_NOBILIS,2018,275.12,NA
ATRACTOSCION_NOBILIS,2019,56.58,NA
ATRACTOSCION_NOBILIS,2020,64.47,NA
ATRACTOSCION_NOBILIS,2021,7.51,NA
ATRACTOSCION_NOBILIS,2022,16.18,NA
ATRACTOSCION_NOBILIS,2023,186.19,NA
BAGRE_PANAMENSIS,2006,323.32,NA
BAGRE_PANAMENSIS,2007,465.19,NA
BAGRE_PANAMENSIS,2008,2241.45,NA
BAGRE_PANAMENSIS,2009,577.19,NA
BAGRE_PANAMENSIS,2010,876.69,NA
BAGRE_PANAMENSIS,2011,505.45,NA
BAGRE_PANAMENSIS,2012,507.46,NA
BAGRE_PANAMENSIS,2013,752.56,NA
BAGRE_PANAMENSIS,2014,28270.8,NA
BAGRE_PANAMENSIS,2015,1108.72,NA
BAGRE_PANAMENSIS,2016,1341.78,NA
BAGRE_PANAMENSIS,2017,1025.15,NA
BAGRE_PANAMENSIS,2018,949.89,NA
BAGRE_PANAMENSIS,2019,827,NA
BAGRE_PANAMENSIS,2020,660.12,NA
BAGRE_PANAMENSIS,2021,236,NA
BAGRE_PANAMENSIS,2022,487.6,NA
BAGRE_PANAMENSIS,2023,307.24,NA
BAGRE_PINNIMACULATUS,2006,1.54,NA
BAGRE_PINNIMACULATUS,2007,1.13,NA
BAGRE_PINNIMACULATUS,2008,1.74,NA
BAGRE_PINNIMACULATUS,2009,2.54,NA
BAGRE_PINNIMACULATUS,2010,3.04,NA
BAGRE_PINNIMACULATUS,2011,0.81,NA
BAGRE_PINNIMACULATUS,2012,0.42,NA
BAGRE_PINNIMACULATUS,2013,5.03,NA
BAGRE_PINNIMACULATUS,2014,6.27,NA
BAGRE_PINNIMACULATUS,2015,1.87,NA
BAGRE_PINNIMACULATUS,2016,7.03,NA
BAGRE_PINNIMACULATUS,2017,2.5,NA
BAGRE_PINNIMACULATUS,2018,0.48,NA
BAGRE_PINNIMACULATUS,2019,1.29,NA
BAGRE_PINNIMACULATUS,2020,3.7,NA
BAGRE_PINNIMACULATUS,2021,1.04,NA
BAGRE_PINNIMACULATUS,2022,5.69,NA
BAGRE_PINNIMACULATUS,2023,1.61,NA
BALISTES_POLYLEPIS,2006,1155.8,NA
BALISTES_POLYLEPIS,2007,1460.95,NA
